Code	Name	Address	Tel No	Fax No	Email	Contact Person	Created By	Date Created                                                                                                                                                                                                                                                                                                                                                                                                                                                    
023-WMR	WILMAR METAL PRODUCTS CENTER	206 rizal ave manila - 244-5392 / 244-8188	244-5392 / 244-8180	244-8188		CORA / CELINE/ TONET	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                              
023-WMO	WILMON REFRIGERATION INDUSTRIES CORP	1417 severino reyes st sta cruz manila phil	7326031	7328031		NESTOR RONDILLA	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                       
023-WRE	WILRENE HARDWARE & PLUMBING	590-592 t alonzo st (near ongpin) sta cruz manila	7336465/7336468	7335397		PACITA SY NGO	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                    
023-WIN	WINMAR AUTO SUPPLY	1478 a cor yuseco severino reyes st sta cruz manila				EDWIN DIESTA	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                  
023-WIS	WISE INDUSTRIAL SYSTEMS INC	bldg 1 silangan interchange canlugang calamba laguna phils	8865032/8865194	(49)5492744		MR ALWIN FERRERA	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                    
023-WAV	WORLD AUDIO VIDEO HOME APPLIANCE CENTER INC	386-388 quintinaredes st binondo manila	2413446 to 48	2426165			TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                             
023-WUS	WORLDWIDE UPHOLSTERY SUPPLY	695 gandara st manila	2420448			JOHNNY YU/ROSIE	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                             
025-YUM	YANKEE UNIFORM MIKE SATELLITE PHONE CENTER	3417 new panaderos sta ana manila	2828812			GARY MIROY	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                       
025-YZE	YZEL MINIMART (GENSAN)	purok malakan general santos city				GARRY TERRRADO	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                              
026-ZEN	ZENMARK ENTERPRISES	230 bet 4th & 5th ave caloocan city	3667717/3341752	3239734		DANNY CHAN	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                             
026-ZES	ZESSNA PARTS SUPPLY	715 evangelista st quiapo  mnaila	7337844/7337477			FLORANTE P ENDRINO	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                              
008-HAT	HANTEC MARKETING	602a king center 57 sgt rivera st quezon city	3654475/3641679			BRANDON BUNI	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                           
008-HAP	HAP GEE COMMERCIAL	611 t alonzo st sta cruz manila	7336480			TAN	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                        
008-HAR	HARRYS ENTERPRISES INC	6 f ofm building 555 cabildo cor urdaneta st intramuros manila	3010407/4820330	3010408			TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                         
008-HAW	HARWAREHOUSE	741 t alonzo st sta cruz manila	7332618	7331994		C/O MANG PRIME	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                            
008-HEA	HE HARDWARE AUTO & FISHING SUPPLY (GENSAN)	nat'l highway general santos city	5526123			EDUARDO AMADEO	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                   
008-HEB	HEBEN BRIGHT STAR MARKETING 1(GENSAN)	santiago blvd general santos city	5539843/083-301-5392			HELEN T BALBUENA/ CHARRIE BALVESA	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                        
008-HEL	HELP U CLEAN SYSTEMS INC	151 a chioco cor dela rama st bf homes paranaque					TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                           
008-HEE	HENRYS ELECTRONICS	duque bldg macarthur hi way malanday valenzuela city	4455026/4450481	2777117		SALLIE	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                 
008-HEW	HEWLETT PACKARD	34 f robinson summit center # 6783 ayala ave makati city	8885900/8307345	8807300		MARY ONG/SHARON TANYA	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                 
011-KTP	K2 TOP CORP/IHWA MARINE ENG. (KOREA)	89-22 ga daep yung dong youngdo-gu busan korea	82514164588/287-6525 - Ivy	287-6434 / 287-6979	k2topco88@yahoo.com.ph	WOO KYENG (PAUL)/KIM /IVY	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                     
011-KTR	K2R (GENSAN)	general santos					TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
011-KOS	KALA OFFICE STORE	1st door lourdes lldc bldg j catolico sr avenue gen san city	5525500	5525501		SUSAN L DEMONTANO	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                       
011-KAM	KAMBAL INDUSTRIAL SUPPLY	suite 409 4th floor marina bldg 282-284 vito cruz ext makati city	8970996	8970937			TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                            
011-KAS	KASARDA VULCANIZING SHOP	navotas m m	2115479				TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                         
011-KCC	KCC MALL OF GENSAN (GENSAN)	j catolico st lagas general santos city				SALES	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                            
011-KET	KETRAK MOTORS(GENSAN)	makar junction national highway gen santos city				RICARDO P MISA	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                 
011-KEV	KEVELRY AUTO SUPPLY	#1448 f yuseco cor severino st sta cruz manila				ANTONIO SINADJAN	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                  
011-KGB	KGB AUTO SUPPLY	1479 new antipolo st tondo manila	2540338			NICASIA G BONTO	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                             
011-KBP	KIM BALL PLAZA TSP LIVERSTOCK & DEV CORP (GENSAN)	papaya st general santos city	(083)5522030	5523360		RUBY	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                              
011-KIP	KIMBALL PLAZA(GENSAN)	p acharon blvd gensan city	0835523487/0835523360			EVELYN BOLIVAR	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                 
011-KCM	KIMBERLY CLARK/MARIE CARDES TRADING	13 malungay st veteran village quezon city	8846426 to 30/6416758	8475572/6411233		MIKE ALVAREZ/SHIRLEY F SADAYA	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                     
011-KIN	KIN MASTERPIECE CORPORATION	216 gov pascual st sipac navotas metro manila	2835658	2827958		WILLIAM/LENLEN LINCHANGCO	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                    
011-KIG	KING HARDWARE	strella st malbon city	2814717	2811112		LIZA/ROSA	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                         
011-KGI	KING'S SAFETYNET, INC.	849 o l liongson building tomas mapua st	742-0168 / 741-1507	712-8055		SHERYL / WENG- 310-8940	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                   
011-KTE	KINGSTONE INDUSTRIAL SALES	702 s padilla st binondo manila	2412173			WILLIAM/MRS BRANDRES	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                               
011-KOL	KOLN HARDWARE SUPPLIER INC	g/f 3 f 1763 unit a b paz guazon st paco manila	5625926	5626382		CRIS	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                        
011-KWI	KWIK	1304 c m recto sta cruz manila	3386059	7369201		BRENDA A SANTOS	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                    
011-KWT	KWIKLINE TRADING (GENSAN)	general santos city					TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                       
012-LSE	L & S ENTERPRISES (GENSAN)	035 naranjita st gen san city	5523524/5535317			ELISEO Y LAO	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                 
012-LGT	LG TRADING	124 san francisco st mandaluyong city	5322127	5322141		LEONICIO DE GUZMAN	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                    
012-LAM	LAMCO INTERNATIONAL	170 rizal ave ext kc	6872401			ELENA ESTANISLAO	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                     
012-LAP	LAPWOODS CORP	no 36 jose zaragoza st brgy dona imelda araneta sund quezon city	7142375/0917816832	7162193/7148095/713-6439		EDGARDO(ED)LAPID/TINA/MAR LALOSA	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                            
012-LEA	LEAD CONSTRUCTION AND GENERAL SERVICES (GENSAN)	mateo road largo genral santos city				SALES	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                            
012-LEM	LEMON GENERAL MERCHANDISE	kalookan city	3639358	3636721		ELISEO	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                         
012-LEO	LEODEGARIO GALVAN	blk #7 lot 6 kaunlaran caloocan city	2357062/09215837917			LEODEGARIO GALVAN	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                          
012-LEN	LEONARDO GALLEGO (NONO)	#1436 batangas st sta cruz manila	2583645			NONO	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                
012-LNG	LEONG SENG HARDWARE	661-663 t alonzo st sta cruz manila	7335277/5278/5288	5290		ONG/MA TIN	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                              
012-LES	LES BIERES CONST & INDL CORP	84 l 12 sta lucia town house pasig city	9003471/9001773	9002773		NILSA / DEMY / NIMFA	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                      
012-LBR	LIBERTY CORRUGATED BOXES MFG CORP	40 gov pascual ave bario potrero malabon city	3614427,3612541,3612561,3613479,3613480	3619394		CHITO/OLIVE	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                            
012-LIM	LIM BROS HARDWARE 7 AUTO SUPPLY CO(GENSAN)	magsaysay ave general santos city					TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                        
012-LIN	LINCHANGCO MACHINE SHOP	493 North Bay Blvd Navotas City,  M. M.	282-1027 to 28 to 29	283-0353		RICARDO LINCHANGCO / RUDY / TEDDY	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                        
012-LIY	LINDA YUMOL	tondo manila	2542668	2334358		LINDA	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                         
012-LIP	LIPC LUNINGNING INTL PRODUCTS & CONTRACTS	102 gen luna st malabon m m  (TIN No. 168-495-396 Non Vat)	2815751/09188545528	2814658		JOSELITO VOLTAIRE M JIONGCO/BRENDA JIONGCO/MARISA	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                     
012-LIT	LITO BALDILLON	blk 48 longos malabon				LITO	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                            
012-LIR	LITO ROXAS	tanyong malabon				LITO ROXAS	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                                
012-LWR	LIVING WATER FILTRATION & REFILLING STATION	#46 miguel st north bay blvd navotas metro manila	 new 345-45-12			SHARON/SALDY,SALVE (CEL. NO. 0922-8250975 )	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                              
012-LSS	LOLITA SANTOS (SALT & BAGOONG)	merville subd dampalit malabon m m				LOLITA SANTOS	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                      
012-LLG	LORNA LEGASPI	navotas metor manila	2824303			LORNA LEGASPI	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                              
012-LOB	LORRIMER ABLOLA	44 f pascual st tangos navotas m m	2824987/09197460226			MER ABLOLA	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                     
012-LOU	LOURDES MENDOZA	navotas metro manila				LOURDES MENDOZA	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                 
012-LSM	LSM BUILDERS AND STEEL INC	blk #17 lot 117 trugnan st ma village tandangsora quezon city	4533634	9355883		RICK BANIQUED	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                 
012-LUC	FLYWHEEL CORP. (LUCKY PLUS TRADING-OLD)	2/f sabino padilla st binondo manila	242-0278 / 309-2981	732-6349 / 241-4517		EVA	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                               
013-MGC	MGC PARTS SUPPLY	evangelista st quiapo manila				RICO S VACIO	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                           
013-MIG	MLG INDUSTRIAL SUPPLY	403 gen luna st malabon m m	2816516/2814089	  281-7925	mlg_industrial@yahoo.com	MEDEL GUTIEREZ/JINKEE	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                             
013-MPM	MPM SAFETY INDUSTRIES CO	331 C. Cordero St. bet. 8th & 9th Ave., Grace Park, Caloocan City	(02)334-2602 / 359-0112/13 / 330-8704	(02)334-1397	www.mpmtco.ph / sales@mpmsico.com	RICKY / RAJ,ELMIE	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                       
013-MSV	MS VULCANIZING SHOP	373 lapuz ave nbbn					TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                              
013-MUC	MU & CO LTD(JAPAN)	2nd floor mu snolai bldg 5 10 motufuna machi nagasaki japan	0958273302	0958273755		KAZU UEDA	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                         
013-MAC	MACKENZIE HARDWARE	662 t alonzo st sta cruz manila	7335327/7335338	7335340		MA EDEN BOIS	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                
013-MAG	MAGNAYE ELECTRICAL & MECHANICAL SERVICES	935 941 oroquieta st sta cruz manila	7343019 or 20	7349941		NESTOR M MAGNAYE/WENG/BRIGGIT	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                      
013-MAK	MAKRO PHILS	tondo manila	2563106	2563112/2569772		JOJO	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                  
013-MKS	MALABON KING STORE	45 estrella st bayan malabon m m	2814717/2819277			FELICISIMA TAMAYO	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                 
013-MLL	MALABON LONG LIFE TRADING CORP	74 gen luna st malabon city	2811511/2811512			BOY	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                        
013-MTC	MALABON TILE CENTER	c4 road malabon city	2889694			EDEN/MYRNA	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                           
013-MAS	MALIBAY AUTO SUPPLY	807 809 e delos santos ave pasay city	8334804			PATRICIA CHAN	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                       
013-MBH	MANILA BLK HANDLING SERVICES INC	7746 st paul st san antonio vill makati city	8977737	8977737			TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                         
013-MAN	MANILA OIL SEAL CO	656 evangelista st quiapo manila	733-2267 / 733-2261 / 733-2275 / 733-2295 / 736-2408	733-2261	mosco569@yahoo.com.ph	JERROL - 0916-6135239 / 0943-3618193	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                            
013-MMH	MANNY MUFFLERS HEADERS AIRCONDITIONING REPAIR	2007 benitez st cor pres quirino ave malate manila	3030234				TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                             
013-MAT	MANUEL TIRE SUPPLY	721 0ld torres subd tondo manila	2533472/2533468	2522805		FRANCISCO DELA CRUZ	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                        
013-MAP	MAPECON PHILS INC	MAPECON Bldg. 2459 Arellano Ave., Malate, Manila	626-0434 / 525-0434 / 567-7378	632-521-5645	freesurvey@mapecon.com / www.mapecon.com	MARIEDEL / GEMMA / MAR MENESES	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                  
013-MAA	MARIANO ALFONSO	navotas m m				MARIANO ALFONSO	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                          
013-MPS	MARINE PROPELLER SPECIALIST	#81 d north bay blvd navotas m m	2815866/09197036330	922-1646		NENE SALAO=09228251513,09197036330	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                           
013-MRT	MARIOS TRADING	c4 rd cor m naval st bagumbayan nav m m	2820969			LUCY LADIA	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                             
013-MAR	MARMAN TRADING	66malvar ext j dela pena marikina city - 421-2236	7245663/7253029	4212233		CONCHITA TAN/JUDES/MEAN DIAN O HAO(7255126)DARWIN(GENSAN)	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                     
013-MRS	MARSI BUILDERS	#30 k 10 st kamias quezon city	920-9777			MARIANO CEDECO	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                 
013-MSU	MATSUI (USA)CORP.	12750 center court dr suite 430 cerritos california 90703	(582)6530401	(562)6530412	"Alex Yang"<alex@matsuiusa.com>	ALEX YANG	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                         
013-MAX	MAXCEL COMPUTER CENTER	40 e cabanatuan st pagasa caloocan city	3641110/3642917,347-1541,3630204			MAXIMINO LEETONG JR	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                   
013-MAY	MAYON GLASS SERVICES	1471 cm recto ave manila	7115332	7115320		LILY G ONG	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                               
